uni950D	U+950D	锍
uni950E	U+950E	锎
uni950F	U+950F	锏
uni9510	U+9510	锐
uni9511	U+9511	锑
uni9512	U+9512	锒
uni9513	U+9513	锓
uni9514	U+9514	锔
uni9515	U+9515	锕
uni9516	U+9516	锖
uni9517	U+9517	锗
uni9518	U+9518	锘
uni9519	U+9519	错
uni951A	U+951A	锚
uni951B	U+951B	锛
uni951C	U+951C	锜
uni951D	U+951D	锝
uni951E	U+951E	锞
uni951F	U+951F	锟
uni9520	U+9520	锠
uni9521	U+9521	锡
uni9522	U+9522	锢
uni9523	U+9523	锣
uni9524	U+9524	锤
uni9525	U+9525	锥
uni9526	U+9526	锦
uni9527	U+9527	锧
uni9528	U+9528	锨
uni9529	U+9529	锩
uni952A	U+952A	锪
uni952B	U+952B	锫
uni952C	U+952C	锬
uni952D	U+952D	锭
uni952E	U+952E	键
uni952F	U+952F	锯
uni9530	U+9530	锰
uni9531	U+9531	锱
uni9532	U+9532	锲
uni9533	U+9533	锳
uni9534	U+9534	锴
uni9535	U+9535	锵
uni9536	U+9536	锶
uni9537	U+9537	锷
uni9538	U+9538	锸
uni9539	U+9539	锹
uni953A	U+953A	锺
uni953B	U+953B	锻
uni953C	U+953C	锼
uni953D	U+953D	锽
uni953E	U+953E	锾
uni953F	U+953F	锿
uni9540	U+9540	镀
uni9541	U+9541	镁
uni9542	U+9542	镂
uni9543	U+9543	镃
uni9544	U+9544	镄
uni9545	U+9545	镅
uni9546	U+9546	镆
uni9547	U+9547	镇
uni9548	U+9548	镈
uni9549	U+9549	镉
uni954A	U+954A	镊
uni954B	U+954B	镋
uni954C	U+954C	镌
uni954D	U+954D	镍
uni954E	U+954E	镎
uni954F	U+954F	镏
uni9550	U+9550	镐
uni9551	U+9551	镑
uni9552	U+9552	镒
uni9553	U+9553	镓
uni9554	U+9554	镔
uni9555	U+9555	镕
uni9556	U+9556	镖
uni9557	U+9557	镗
uni9558	U+9558	镘
uni9559	U+9559	镙
uni955A	U+955A	镚
uni955B	U+955B	镛
uni955C	U+955C	镜
uni955D	U+955D	镝
uni955E	U+955E	镞
uni955F	U+955F	镟
uni9560	U+9560	镠
uni9561	U+9561	镡
uni9562	U+9562	镢
uni9563	U+9563	镣
uni9564	U+9564	镤
uni9565	U+9565	镥
uni9566	U+9566	镦
uni9567	U+9567	镧
uni9568	U+9568	镨
uni9569	U+9569	镩
uni956A	U+956A	镪
uni956B	U+956B	镫
uni956C	U+956C	镬
uni956D	U+956D	镭
uni956E	U+956E	镮
uni956F	U+956F	镯
uni9570	U+9570	镰
uni9571	U+9571	镱
uni9572	U+9572	镲
uni9573	U+9573	镳
uni9574	U+9574	镴
uni9575	U+9575	镵
uni9576	U+9576	镶
uni9579	U+9579	镹
uni957A	U+957A	镺
uni957B	U+957B	镻
uni957C	U+957C	镼
uni957D	U+957D	镽
uni957E	U+957E	镾
uni9581	U+9581	閁
uni9582	U+9582	閂
uni9583	U+9583	閃
uni9584	U+9584	閄
uni9585	U+9585	閅
