uni4A9E	U+4A9E	䪞
uni4E96	U+4E96	亖
uni4E97	U+4E97	亗
uni4E98	U+4E98	亘
uni4E99	U+4E99	亙
uni4E9A	U+4E9A	亚
uni4E9B	U+4E9B	些
uni4E9C	U+4E9C	亜
uni4E9D	U+4E9D	亝
uni4E9E	U+4E9E	亞
uni4E9F	U+4E9F	亟
uni4EA1	U+4EA1	亡
uni4EA2	U+4EA2	亢
uni4EA3	U+4EA3	亣
uni4EA4	U+4EA4	交
uni4EA5	U+4EA5	亥
uni4EA6	U+4EA6	亦
uni4EA7	U+4EA7	产
uni4EA8	U+4EA8	亨
uni4EA9	U+4EA9	亩
uni4EAA	U+4EAA	亪
uni4EAB	U+4EAB	享
uni4EAC	U+4EAC	京
uni4EAD	U+4EAD	亭
uni4EAE	U+4EAE	亮
uni4EAF	U+4EAF	亯
uni4EB0	U+4EB0	亰
uni4EB1	U+4EB1	亱
uni4EB2	U+4EB2	亲
uni4EB3	U+4EB3	亳
uni4EB4	U+4EB4	亴
uni4EB5	U+4EB5	亵
uni4EB6	U+4EB6	亶
uni4EB7	U+4EB7	亷
uni4EB8	U+4EB8	亸
uni4EB9	U+4EB9	亹
uni4EBC	U+4EBC	亼
uni4EBD	U+4EBD	亽
uni4EBE	U+4EBE	亾
uni4EBF	U+4EBF	亿
uni4EC0	U+4EC0	什
uni4EC1	U+4EC1	仁
uni4EC2	U+4EC2	仂
uni4EC3	U+4EC3	仃
uni4EC4	U+4EC4	仄
uni4EC5	U+4EC5	仅
uni4EC6	U+4EC6	仆
uni4EC7	U+4EC7	仇
uni4EC8	U+4EC8	仈
uni4EC9	U+4EC9	仉
uni4ECA	U+4ECA	今
uni4ECB	U+4ECB	介
uni4ECC	U+4ECC	仌
uni4ECD	U+4ECD	仍
uni4ECE	U+4ECE	从
uni4ECF	U+4ECF	仏
uni4ED0	U+4ED0	仐
uni4ED1	U+4ED1	仑
uni4ED2	U+4ED2	仒
uni4ED3	U+4ED3	仓
uni4ED4	U+4ED4	仔
uni4ED5	U+4ED5	仕
uni4ED6	U+4ED6	他
uni4ED7	U+4ED7	仗
uni4ED8	U+4ED8	付
uni4ED9	U+4ED9	仙
uni4EDA	U+4EDA	仚
uni4EDB	U+4EDB	仛
uni4EDC	U+4EDC	仜
uni4EDD	U+4EDD	仝
uni4EDE	U+4EDE	仞
uni4EDF	U+4EDF	仟
uni4EE0	U+4EE0	仠
uni4EE1	U+4EE1	仡
uni4EE2	U+4EE2	仢
uni4EE3	U+4EE3	代
uni4EE4	U+4EE4	令
uni4EE5	U+4EE5	以
uni4EE6	U+4EE6	仦
uni4EE7	U+4EE7	仧
uni4EE8	U+4EE8	仨
uni4EE9	U+4EE9	仩
uni4EEA	U+4EEA	仪
uni4EEB	U+4EEB	仫
uni4EEC	U+4EEC	们
uni4EED	U+4EED	仭
uni4EEE	U+4EEE	仮
uni4EEF	U+4EEF	仯
uni4EF0	U+4EF0	仰
uni4EF1	U+4EF1	仱
uni4EF2	U+4EF2	仲
uni4EF3	U+4EF3	仳
uni4EF4	U+4EF4	仴
uni4EF5	U+4EF5	仵
