uni3A9C	U+3A9C	㪜
uni3DCB	U+3DCB	㷋
uni3DCC	U+3DCC	㷌
uni3DCD	U+3DCD	㷍
uni3DCE	U+3DCE	㷎
uni3DCF	U+3DCF	㷏
uni3DD0	U+3DD0	㷐
uni3DD1	U+3DD1	㷑
uni3DD2	U+3DD2	㷒
uni3DD3	U+3DD3	㷓
uni3DD4	U+3DD4	㷔
uni3DD5	U+3DD5	㷕
uni3DD6	U+3DD6	㷖
uni3DD7	U+3DD7	㷗
uni3DD8	U+3DD8	㷘
uni3DD9	U+3DD9	㷙
uni3DDA	U+3DDA	㷚
uni3DDB	U+3DDB	㷛
uni3DDC	U+3DDC	㷜
uni3DDD	U+3DDD	㷝
uni3DDE	U+3DDE	㷞
uni3DDF	U+3DDF	㷟
uni3DE0	U+3DE0	㷠
uni3DE1	U+3DE1	㷡
uni3DE2	U+3DE2	㷢
uni3DE3	U+3DE3	㷣
uni3DE4	U+3DE4	㷤
uni3DE5	U+3DE5	㷥
uni3DE6	U+3DE6	㷦
uni3DE7	U+3DE7	㷧
uni3DE8	U+3DE8	㷨
uni3DE9	U+3DE9	㷩
uni3DEA	U+3DEA	㷪
uni3DEB	U+3DEB	㷫
uni3DEC	U+3DEC	㷬
uni3DED	U+3DED	㷭
uni3DEE	U+3DEE	㷮
uni3DEF	U+3DEF	㷯
uni3DF0	U+3DF0	㷰
uni3DF1	U+3DF1	㷱
uni3DF2	U+3DF2	㷲
uni3DF3	U+3DF3	㷳
uni3DF4	U+3DF4	㷴
uni3DF5	U+3DF5	㷵
uni3DF6	U+3DF6	㷶
uni3DF7	U+3DF7	㷷
uni3DF8	U+3DF8	㷸
uni3DF9	U+3DF9	㷹
uni3DFA	U+3DFA	㷺
uni3DFB	U+3DFB	㷻
uni3DFC	U+3DFC	㷼
uni3DFD	U+3DFD	㷽
uni3DFE	U+3DFE	㷾
uni3DFF	U+3DFF	㷿
uni3E00	U+3E00	㸀
uni3E01	U+3E01	㸁
uni3E02	U+3E02	㸂
uni3E03	U+3E03	㸃
uni3E04	U+3E04	㸄
uni3E05	U+3E05	㸅
uni3E06	U+3E06	㸆
uni3E07	U+3E07	㸇
uni3E08	U+3E08	㸈
uni3E09	U+3E09	㸉
uni3E0A	U+3E0A	㸊
uni3E0B	U+3E0B	㸋
uni3E0C	U+3E0C	㸌
uni3E0D	U+3E0D	㸍
uni3E0E	U+3E0E	㸎
uni3E0F	U+3E0F	㸏
uni3E10	U+3E10	㸐
uni3E11	U+3E11	㸑
uni3E12	U+3E12	㸒
uni3E13	U+3E13	㸓
uni3E14	U+3E14	㸔
uni3E15	U+3E15	㸕
uni3E16	U+3E16	㸖
uni3E17	U+3E17	㸗
uni3E18	U+3E18	㸘
uni3E19	U+3E19	㸙
uni3E1A	U+3E1A	㸚
uni3E1B	U+3E1B	㸛
uni3E1C	U+3E1C	㸜
uni3E1D	U+3E1D	㸝
uni3E1E	U+3E1E	㸞
uni3E1F	U+3E1F	㸟
uni3E20	U+3E20	㸠
uni3E21	U+3E21	㸡
uni3E22	U+3E22	㸢
uni3E23	U+3E23	㸣
uni3E24	U+3E24	㸤
uni3E25	U+3E25	㸥
uni3E26	U+3E26	㸦
uni3E27	U+3E27	㸧
uni3E28	U+3E28	㸨
uni3E29	U+3E29	㸩
uni3E2A	U+3E2A	㸪
uni3E2B	U+3E2B	㸫
uni3E2C	U+3E2C	㸬
uni3E2D	U+3E2D	㸭
uni3E2E	U+3E2E	㸮
uni3E2F	U+3E2F	㸯
uni3E30	U+3E30	㸰
uni3E31	U+3E31	㸱
uni3E32	U+3E32	㸲
uni3E33	U+3E33	㸳
uni3E34	U+3E34	㸴
