uni3E9C	U+3E9C	㺜
uni41C1	U+41C1	䇁
uni41C2	U+41C2	䇂
uni41C3	U+41C3	䇃
uni41C4	U+41C4	䇄
uni41C5	U+41C5	䇅
uni41C6	U+41C6	䇆
uni41C7	U+41C7	䇇
uni41C8	U+41C8	䇈
uni41C9	U+41C9	䇉
uni41CA	U+41CA	䇊
uni41CB	U+41CB	䇋
uni41CC	U+41CC	䇌
uni41CD	U+41CD	䇍
uni41CE	U+41CE	䇎
uni41CF	U+41CF	䇏
uni41D0	U+41D0	䇐
uni41D1	U+41D1	䇑
uni41D2	U+41D2	䇒
uni41D3	U+41D3	䇓
uni41D4	U+41D4	䇔
uni41D5	U+41D5	䇕
uni41D6	U+41D6	䇖
uni41D7	U+41D7	䇗
uni41D8	U+41D8	䇘
uni41D9	U+41D9	䇙
uni41DA	U+41DA	䇚
uni41DB	U+41DB	䇛
uni41DC	U+41DC	䇜
uni41DD	U+41DD	䇝
uni41DE	U+41DE	䇞
uni41DF	U+41DF	䇟
uni41E0	U+41E0	䇠
uni41E1	U+41E1	䇡
uni41E2	U+41E2	䇢
uni41E3	U+41E3	䇣
uni41E4	U+41E4	䇤
uni41E5	U+41E5	䇥
uni41E6	U+41E6	䇦
uni41E7	U+41E7	䇧
uni41E8	U+41E8	䇨
uni41E9	U+41E9	䇩
uni41EA	U+41EA	䇪
uni41EB	U+41EB	䇫
uni41EC	U+41EC	䇬
uni41ED	U+41ED	䇭
uni41EE	U+41EE	䇮
uni41EF	U+41EF	䇯
uni41F0	U+41F0	䇰
uni41F1	U+41F1	䇱
uni41F2	U+41F2	䇲
uni41F3	U+41F3	䇳
uni41F4	U+41F4	䇴
uni41F5	U+41F5	䇵
uni41F6	U+41F6	䇶
uni41F7	U+41F7	䇷
uni41F8	U+41F8	䇸
uni41F9	U+41F9	䇹
uni41FA	U+41FA	䇺
uni41FB	U+41FB	䇻
uni41FC	U+41FC	䇼
uni41FD	U+41FD	䇽
uni41FE	U+41FE	䇾
uni41FF	U+41FF	䇿
uni4200	U+4200	䈀
uni4201	U+4201	䈁
uni4202	U+4202	䈂
uni4203	U+4203	䈃
uni4204	U+4204	䈄
uni4205	U+4205	䈅
uni4206	U+4206	䈆
uni4207	U+4207	䈇
uni4208	U+4208	䈈
uni4209	U+4209	䈉
uni420A	U+420A	䈊
uni420B	U+420B	䈋
uni420C	U+420C	䈌
uni420D	U+420D	䈍
uni420E	U+420E	䈎
uni420F	U+420F	䈏
uni4210	U+4210	䈐
uni4211	U+4211	䈑
uni4212	U+4212	䈒
uni4213	U+4213	䈓
uni4214	U+4214	䈔
uni4215	U+4215	䈕
uni4216	U+4216	䈖
uni4217	U+4217	䈗
uni4218	U+4218	䈘
uni4219	U+4219	䈙
uni421A	U+421A	䈚
uni421B	U+421B	䈛
uni421C	U+421C	䈜
uni421D	U+421D	䈝
uni421E	U+421E	䈞
uni421F	U+421F	䈟
uni4220	U+4220	䈠
uni4221	U+4221	䈡
uni4222	U+4222	䈢
uni4223	U+4223	䈣
uni4224	U+4224	䈤
uni4225	U+4225	䈥
uni4226	U+4226	䈦
uni4227	U+4227	䈧
uni4228	U+4228	䈨
uni4229	U+4229	䈩
uni422A	U+422A	䈪
uni422B	U+422B	䈫
uni422C	U+422C	䈬
uni422D	U+422D	䈭
uni422E	U+422E	䈮
uni422F	U+422F	䈯
uni4230	U+4230	䈰
uni4231	U+4231	䈱
uni4232	U+4232	䈲
uni4233	U+4233	䈳
uni4234	U+4234	䈴
uni4235	U+4235	䈵
uni4236	U+4236	䈶
uni4237	U+4237	䈷
uni4238	U+4238	䈸
uni4239	U+4239	䈹
uni423A	U+423A	䈺
uni423B	U+423B	䈻
uni423C	U+423C	䈼
uni423D	U+423D	䈽
uni423E	U+423E	䈾
uni423F	U+423F	䈿
uni4240	U+4240	䉀
uni4241	U+4241	䉁
uni4242	U+4242	䉂
uni4243	U+4243	䉃
uni4244	U+4244	䉄
uni4245	U+4245	䉅
uni4246	U+4246	䉆
uni4247	U+4247	䉇
uni4248	U+4248	䉈
uni4249	U+4249	䉉
uni424A	U+424A	䉊
uni424B	U+424B	䉋
uni424C	U+424C	䉌
uni424D	U+424D	䉍
uni424E	U+424E	䉎
uni424F	U+424F	䉏
uni4250	U+4250	䉐
uni4251	U+4251	䉑
uni4252	U+4252	䉒
uni4253	U+4253	䉓
uni4254	U+4254	䉔
uni4255	U+4255	䉕
uni4256	U+4256	䉖
uni4257	U+4257	䉗
uni4258	U+4258	䉘
uni4259	U+4259	䉙
uni425A	U+425A	䉚
uni425B	U+425B	䉛
