uni290AF	U+290AF	𩂯
uni290B0	U+290B0	𩂰
uni290B1	U+290B1	𩂱
uni290C0	U+290C0	𩃀
uni290E4	U+290E4	𩃤
uni290E5	U+290E5	𩃥
uni290EC	U+290EC	𩃬
uni290ED	U+290ED	𩃭
uni2910D	U+2910D	𩄍
uni29110	U+29110	𩄐
uni2913C	U+2913C	𩄼
uni2914D	U+2914D	𩅍
uni2915B	U+2915B	𩅛
uni2915E	U+2915E	𩅞
uni29170	U+29170	𩅰
uni2919C	U+2919C	𩆜
uni291A8	U+291A8	𩆨
uni291D5	U+291D5	𩇕
uni291E3	U+291E3	𩇣
uni291EB	U+291EB	𩇫
uni292A0	U+292A0	𩊠
uni292B1	U+292B1	𩊱
uni2941D	U+2941D	𩐝
uni29420	U+29420	𩐠
uni29433	U+29433	𩐳
uni2943F	U+2943F	𩐿
uni29448	U+29448	𩑈
uni29490	U+29490	𩒐
uni294D0	U+294D0	𩓐
uni294D9	U+294D9	𩓙
uni294DA	U+294DA	𩓚
uni294DE	U+294DE	𩓞
uni294E5	U+294E5	𩓥
uni294E7	U+294E7	𩓧
uni29509	U+29509	𩔉
uni2959E	U+2959E	𩖞
uni295B0	U+295B0	𩖰
uni295B8	U+295B8	𩖸
uni295CF	U+295CF	𩗏
uni295D7	U+295D7	𩗗
uni295E9	U+295E9	𩗩
uni295F4	U+295F4	𩗴
uni296F0	U+296F0	𩛰
uni29719	U+29719	𩜙
uni29720	U+29720	𩜠
