U+5890	墐
U+5898	墘
U+6474	摴
U+928E	銎
U+21413	𡐓
U+589A	墚
U+6496	撖
U+2A917	𪤗
U+977D	靽
U+9781	鞁
U+850C	蔌
U+8508	蔈
U+84F0	蓰
U+8539	蔹
U+850A	蔊
U+560F	嘏
U+69B0	榰
U+6991	榑
U+69DA	槚
U+235CB	𣗋
U+69DC	槜
U+698D	榍
U+7590	疐
U+2CE18	𬸘
U+917A	酺
U+917E	酾
U+9172	酲
U+9174	酴
U+78B6	碶
U+40CE	䃎
U+2C497	𬒗
U+78A8	碨
U+25532	𥔲
U+78B9	碹
U+78A5	碥
U+5282	劂
U+2B696	𫚖
U+4D17	䴗
U+5925	夥
U+778D	瞍
U+9E56	鹖
U+3B0E	㬎
U+8DFD	跽
U+873E	蜾
U+5E56	幖
U+5D8D	嶍
U+5719	圙
U+28C4F	𨱏
U+953A	锺
U+953C	锼
U+953D	锽
U+2CB64	𬭤
U+953E	锾
U+953F	锿
U+9543	镃
U+9544	镄
U+9545	镅
U+999D	馝
U+9E59	鹙
U+7BA8	箨
U+7B96	箖
U+5284	劄
U+50EC	僬
U+50E6	僦
U+50D4	僔
U+50CE	僎
U+69C3	槃
U+3666	㙦
U+9C92	鲒
U+9C95	鲕
U+2B695	𫚕
U+9C96	鲖
U+9C97	鲗
U+9C98	鲘
U+9C99	鲙
U+2CD90	𬶐
U+2CD8F	𬶏
U+29F7E	𩽾
U+5910	夐
U+734D	獍
U+98D7	飗
U+2CE1A	𬸚
U+51D8	凘
U+5ED1	廑
U+5ED9	廙
U+7617	瘗
U+7625	瘥
U+7615	瘕
U+9C9D	鲝
U+912B	鄫
U+7187	熇
U+6F39	漹
U+6F16	漖
U+6F46	潆
U+6F24	漤
U+6F69	潩
U+6F3C	漼
U+6F34	漴
U+3F4F	㽏
U+6F08	漈
U+6F0B	漋
U+6F3B	漻
U+616C	慬
U+7AAC	窬
U+7AAD	窭
U+3BBE	㮾
U+2C91D	𬤝
U+8915	褕
U+799B	禛
U+799A	禚
U+96A9	隩
U+5AD5	嫕
U+5AED	嫭
U+5ADC	嫜
U+5AEA	嫪
U+2C642	𬙂
U+3EEC	㻬
U+9EB9	麹
U+7486	璆
U+6F26	漦
U+53C7	叇
U+58A3	墣
U+58A6	墦
U+58A1	墡
U+5290	劐
U+8581	薁
U+8570	蕰
U+8503	蔃
U+9F12	鼒
U+69F1	槱
U+9E5D	鹝
U+78CF	磏
U+78C9	磉
U+6BA3	殣
U+616D	慭
U+9705	霅
U+66B5	暵
U+66B2	暲
U+66B6	暶
U+8E26	踦
U+8E23	踣
U+45D6	䗖
U+8758	蝘
U+8772	蝲
U+8764	蝤
U+5647	噇
U+5642	噂
U+5640	噀
U+7F76	罶
U+5DB2	嶲
U+5D93	嶓
U+3807	㠇
U+5D9F	嶟
U+5D92	嶒
U+9546	镆
U+9548	镈
U+954B	镋
U+954E	镎
U+2CB69	𬭩
U+9555	镕
U+7A39	稹
U+5107	儇
U+769E	皞
U+769B	皛
U+4D18	䴘
U+824E	艎
U+824F	艏
U+9E5F	鹟
U+29F83	𩾃
U+9CA6	鲦
U+9CAA	鲪
U+9CAC	鲬
U+6A65	橥
U+89ED	觭
U+9E60	鹠
U+9E61	鹡
U+7CC7	糇
U+7CC8	糈
U+7FE6	翦
U+9E62	鹢
U+9E63	鹣
U+719B	熛
U+6F56	潖
U+6F75	潵
U+3D50	㵐
U+6F82	澂
U+6F9B	澛
U+746C	瑬
U+6F7D	潽
U+6F7E	潾
U+6F4F	潏
U+61AD	憭
U+6195	憕
U+2CE23	𬸣
U+622D	戭
U+892F	褯
U+79A4	禤
U+2B37D	𫍽
U+5AFD	嫽
U+9079	遹
U+2CD0A	𬴊
U+74A5	璥
U+74B2	璲
U+7492	璒
U+6199	憙
U+64D0	擐
U+9139	鄹
U+85B3	薳
U+9794	鞔
U+9EC7	黇
U+2C79F	𬞟
U+8557	蕗
U+85A2	薢
U+8579	蕹
U+6A5E	橞
U+6A51	橑
U+6A66	橦
U+9191	醑
U+89F1	觱
U+78E1	磡
U+25562	𥕢
U+78DC	磜
U+8C6E	豮
U+2B7E6	𫟦
U+2CE88	𬺈
U+2B81C	𫠜
U+9E7E	鹾
U+8664	虤
U+66BF	暿
U+66CC	曌
U+66C8	曈
U+3B1A	㬚
U+8E45	蹅
U+8E36	踶
U+45DB	䗛
U+8797	螗
U+7581	疁
U+3813	㠓
U+5E6A	幪
U+2AA58	𪩘
U+5DA6	嶦
U+2CB6C	𬭬
U+28C51	𨱑
U+2CB6F	𬭯
U+999E	馞
U+7A44	穄
U+7BDA	篚
U+7BEF	篯
U+7C09	簉
U+9F3D	鼽
U+8860	衠
U+76E6	盦
U+87A3	螣
U+7E22	縢
U+9CAD	鲭
U+9CAF	鲯
U+9CB0	鲰
U+9CBA	鲺
U+9CB9	鲹
