uni8B00	U+8B00	謀
uni8B01	U+8B01	謁
uni8B02	U+8B02	謂
uni8B03	U+8B03	謃
uni8B04	U+8B04	謄
uni8B05	U+8B05	謅
uni8B06	U+8B06	謆
uni8B07	U+8B07	謇
uni8B08	U+8B08	謈
uni8B09	U+8B09	謉
uni8B0A	U+8B0A	謊
uni8B0B	U+8B0B	謋
uni8B0C	U+8B0C	謌
uni8B0D	U+8B0D	謍
uni8B0E	U+8B0E	謎
uni8B0F	U+8B0F	謏
uni8B10	U+8B10	謐
uni8B11	U+8B11	謑
uni8B12	U+8B12	謒
uni8B13	U+8B13	謓
uni8B14	U+8B14	謔
uni8B15	U+8B15	謕
uni8B16	U+8B16	謖
uni8B17	U+8B17	謗
uni8B18	U+8B18	謘
uni8B19	U+8B19	謙
uni8B1A	U+8B1A	謚
uni8B1B	U+8B1B	講
uni8B1C	U+8B1C	謜
uni8B1D	U+8B1D	謝
uni8B1E	U+8B1E	謞
uni8B1F	U+8B1F	謟
uni8B20	U+8B20	謠
uni8B21	U+8B21	謡
uni8B22	U+8B22	謢
uni8B23	U+8B23	謣
uni8B24	U+8B24	謤
uni8B25	U+8B25	謥
uni8B26	U+8B26	謦
uni8B27	U+8B27	謧
uni8B28	U+8B28	謨
uni8B29	U+8B29	謩
uni8B2A	U+8B2A	謪
uni8B2B	U+8B2B	謫
uni8B2C	U+8B2C	謬
uni8B2D	U+8B2D	謭
uni8B2E	U+8B2E	謮
uni8B2F	U+8B2F	謯
uni8B30	U+8B30	謰
uni8B31	U+8B31	謱
uni8B32	U+8B32	謲
uni8B33	U+8B33	謳
uni8B34	U+8B34	謴
uni8B35	U+8B35	謵
uni8B36	U+8B36	謶
uni8B37	U+8B37	謷
uni8B38	U+8B38	謸
uni8B39	U+8B39	謹
uni8B3A	U+8B3A	謺
uni8B3B	U+8B3B	謻
uni8B3C	U+8B3C	謼
uni8B3D	U+8B3D	謽
uni8B3E	U+8B3E	謾
uni8B3F	U+8B3F	謿
uni8B40	U+8B40	譀
uni8B41	U+8B41	譁
uni8B42	U+8B42	譂
uni8B43	U+8B43	譃
uni8B44	U+8B44	譄
uni8B45	U+8B45	譅
uni8B46	U+8B46	譆
uni8B47	U+8B47	譇
uni8B48	U+8B48	譈
uni8B49	U+8B49	證
uni8B4A	U+8B4A	譊
uni8B4B	U+8B4B	譋
uni8B4C	U+8B4C	譌
uni8B4D	U+8B4D	譍
uni8B4E	U+8B4E	譎
uni8B4F	U+8B4F	譏
uni8B50	U+8B50	譐
