uni399F	U+399F	㦟
uni39A0	U+39A0	㦠
uni39A1	U+39A1	㦡
uni39A2	U+39A2	㦢
uni39A3	U+39A3	㦣
uni39A4	U+39A4	㦤
uni39A5	U+39A5	㦥
uni39A6	U+39A6	㦦
uni39A7	U+39A7	㦧
uni39A8	U+39A8	㦨
uni39A9	U+39A9	㦩
uni39AA	U+39AA	㦪
uni39AB	U+39AB	㦫
uni39AC	U+39AC	㦬
uni39AD	U+39AD	㦭
uni39AE	U+39AE	㦮
uni39AF	U+39AF	㦯
uni39B0	U+39B0	㦰
uni39B1	U+39B1	㦱
uni39B2	U+39B2	㦲
uni39B4	U+39B4	㦴
uni39B5	U+39B5	㦵
uni39B6	U+39B6	㦶
uni39B7	U+39B7	㦷
uni39B8	U+39B8	㦸
uni39B9	U+39B9	㦹
uni39BA	U+39BA	㦺
uni39BB	U+39BB	㦻
uni39BC	U+39BC	㦼
uni39BD	U+39BD	㦽
uni39BE	U+39BE	㦾
uni39BF	U+39BF	㦿
uni39C0	U+39C0	㧀
uni39C1	U+39C1	㧁
uni39C2	U+39C2	㧂
uni39C3	U+39C3	㧃
uni39C4	U+39C4	㧄
uni39C5	U+39C5	㧅
uni39C6	U+39C6	㧆
uni39C7	U+39C7	㧇
uni39C8	U+39C8	㧈
uni39C9	U+39C9	㧉
uni39CA	U+39CA	㧊
uni39CB	U+39CB	㧋
uni39CC	U+39CC	㧌
uni39CD	U+39CD	㧍
uni39CE	U+39CE	㧎
uni39CF	U+39CF	㧏
uni39D0	U+39D0	㧐
uni39D1	U+39D1	㧑
uni39D2	U+39D2	㧒
uni39D3	U+39D3	㧓
uni39D4	U+39D4	㧔
uni39D5	U+39D5	㧕
uni39D6	U+39D6	㧖
uni39D7	U+39D7	㧗
uni39D8	U+39D8	㧘
uni39D9	U+39D9	㧙
uni39DA	U+39DA	㧚
uni39DB	U+39DB	㧛
uni39DC	U+39DC	㧜
uni39DD	U+39DD	㧝
uni39DE	U+39DE	㧞
uni39DF	U+39DF	㧟
uni39E0	U+39E0	㧠
