uni9B3B	U+9B3B	鬻
uni9B3D	U+9B3D	鬽
uni9B3E	U+9B3E	鬾
uni9B3F	U+9B3F	鬿
uni9B40	U+9B40	魀
uni9B41	U+9B41	魁
uni9B42	U+9B42	魂
uni9B43	U+9B43	魃
uni9B44	U+9B44	魄
uni9B45	U+9B45	魅
uni9B46	U+9B46	魆
uni9B47	U+9B47	魇
uni9B48	U+9B48	魈
uni9B49	U+9B49	魉
uni9B4A	U+9B4A	魊
uni9B4B	U+9B4B	魋
uni9B4C	U+9B4C	魌
uni9B4D	U+9B4D	魍
uni9B4E	U+9B4E	魎
uni9B4F	U+9B4F	魏
uni9B50	U+9B50	魐
uni9B51	U+9B51	魑
uni9B52	U+9B52	魒
uni9B53	U+9B53	魓
uni9B54	U+9B54	魔
uni9B55	U+9B55	魕
uni9B56	U+9B56	魖
uni9B57	U+9B57	魗
uni9B58	U+9B58	魘
uni9B59	U+9B59	魙
uni9B5B	U+9B5B	魛
uni9B5C	U+9B5C	魜
uni9B5D	U+9B5D	魝
uni9B5E	U+9B5E	魞
uni9B5F	U+9B5F	魟
uni9B60	U+9B60	魠
uni9B61	U+9B61	魡
uni9B62	U+9B62	魢
uni9B63	U+9B63	魣
uni9B64	U+9B64	魤
uni9B65	U+9B65	魥
uni9B66	U+9B66	魦
uni9B67	U+9B67	魧
uni9B68	U+9B68	魨
uni9B69	U+9B69	魩
uni9B6A	U+9B6A	魪
uni9B6B	U+9B6B	魫
uni9B6C	U+9B6C	魬
uni9B6D	U+9B6D	魭
uni9B6E	U+9B6E	魮
uni9B6F	U+9B6F	魯
uni9B70	U+9B70	魰
uni9B71	U+9B71	魱
uni9B72	U+9B72	魲
uni9B73	U+9B73	魳
uni9B74	U+9B74	魴
uni9B75	U+9B75	魵
uni9B76	U+9B76	魶
uni9B77	U+9B77	魷
uni9B78	U+9B78	魸
uni9B79	U+9B79	魹
uni9B7A	U+9B7A	魺
uni9B7B	U+9B7B	魻
uni9B7C	U+9B7C	魼
uni9B7D	U+9B7D	魽
uni9B7E	U+9B7E	魾
uni9B7F	U+9B7F	魿
uni9B80	U+9B80	鮀
uni9B81	U+9B81	鮁
uni9B82	U+9B82	鮂
uni9B83	U+9B83	鮃
uni9B84	U+9B84	鮄
uni9B85	U+9B85	鮅
uni9B86	U+9B86	鮆
uni9B87	U+9B87	鮇
uni9B88	U+9B88	鮈
uni9B89	U+9B89	鮉
uni9B8A	U+9B8A	鮊
uni9B8B	U+9B8B	鮋
uni9B8C	U+9B8C	鮌
uni9B8D	U+9B8D	鮍
uni9B8E	U+9B8E	鮎
uni9B8F	U+9B8F	鮏
