U+218BE	𡢾
U+218BF	𡢿
U+218D1	𡣑
U+218D6	𡣖
U+218D7	𡣗
U+218D8	𡣘
U+218D9	𡣙
U+218FA	𡣺
U+21903	𡤃
U+21904	𡤄
U+21905	𡤅
U+21910	𡤐
U+21911	𡤑
U+21912	𡤒
U+21915	𡤕
U+2191C	𡤜
U+21922	𡤢
U+21927	𡤧
U+2193B	𡤻
U+21944	𡥄
U+21958	𡥘
U+2196A	𡥪
U+2197C	𡥼
U+21980	𡦀
U+21983	𡦃
U+21988	𡦈
U+21996	𡦖
U+219C3	𡧃
U+219DB	𡧛
U+219F3	𡧳
U+21A1A	𡨚
U+21A2D	𡨭
U+21A34	𡨴
U+21A45	𡩅
U+21A4B	𡩋
U+21A63	𡩣
U+21B44	𡭄
U+21BC1	𡯁
U+21BC2	𡯂
U+21C2A	𡰪
U+21C56	𡱖
U+21C70	𡱰
U+21CA2	𡲢
U+21CA5	𡲥
U+21CAC	𡲬
U+21D2D	𡴭
U+21D45	𡵅
U+21D46	𡵆
U+21D53	𡵓
U+21D5E	𡵞
U+21D62	𡵢
U+21D78	𡵸
U+21D90	𡶐
U+21D92	𡶒
U+21D9C	𡶜
U+21DA1	𡶡
U+21DB6	𡶶
U+21DB7	𡶷
U+21DBA	𡶺
U+21DCA	𡷊
U+21DD1	𡷑
U+21DE0	𡷠
U+21DEB	𡷫
U+21DF9	𡷹
U+21E1C	𡸜
U+21E23	𡸣
U+21E33	𡸳
U+21E34	𡸴
U+21E37	𡸷
U+21E3D	𡸽
U+21E89	𡺉
U+21EA4	𡺤
U+21EA8	𡺨
U+21EC8	𡻈
U+21ED5	𡻕
U+21F0F	𡼏
U+21F15	𡼕
U+21F1E	𡼞
U+21F5C	𡽜
U+21F6A	𡽪
U+21F76	𡽶
U+21F9E	𡾞
U+21FA1	𡾡
U+21FE8	𡿨
U+21FFA	𡿺
U+22045	𢁅
U+22049	𢁉
U+2207E	𢁾
U+2209A	𢂚
U+220C7	𢃇
U+220FC	𢃼
U+2212A	𢄪
U+2215B	𢅛
U+22173	𢅳
U+2217A	𢅺
U+2217B	𢅻
U+221A1	𢆡
U+221C1	𢇁
U+221C3	𢇃
U+22208	𢈈
U+22218	𢈘
U+2227C	𢉼
U+2231E	𢌞
U+22321	𢌡
U+22325	𢌥
U+223AD	𢎭
U+223BD	𢎽
U+223D0	𢏐
U+223D7	𢏗
U+223FA	𢏺
U+22465	𢑥
U+22471	𢑱
U+2248B	𢒋
U+22491	𢒑
U+224B0	𢒰
U+224BC	𢒼
U+224C1	𢓁
U+224C9	𢓉
U+224CC	𢓌
U+224E1	𢓡
U+224ED	𢓭
U+22513	𢔓
U+2251B	𢔛
U+22530	𢔰
U+22554	𢕔
U+2258D	𢖍
U+225AF	𢖯
U+225BE	𢖾
U+22609	𢘉
U+2261B	𢘛
U+2261C	𢘜
U+2262B	𢘫
U+22668	𢙨
U+2267A	𢙺
U+22696	𢚖
U+22698	𢚘
U+226F3	𢛳
U+226F4	𢛴
U+226F5	𢛵
U+226F6	𢛶
U+22712	𢜒
U+22714	𢜔
U+2271B	𢜛
U+2271F	𢜟
U+2272A	𢜪
U+22775	𢝵
U+22781	𢞁
U+22796	𢞖
U+227B4	𢞴
U+227B5	𢞵
U+227CD	𢟍
U+22803	𢠃
U+2285B	𢡛
U+2285F	𢡟
U+22860	𢡠
U+22871	𢡱
U+228AB	𢢫
U+228AD	𢢭
U+228C1	𢣁
U+228F7	𢣷
U+22926	𢤦
U+22939	𢤹
U+2294F	𢥏
U+22967	𢥧
U+2296B	𢥫
U+22980	𢦀
U+22993	𢦓
U+22A66	𢩦
U+22AB8	𢪸
U+22ACF	𢫏
U+22AD5	𢫕
U+22AE6	𢫦
U+22AE8	𢫨
U+22B0E	𢬎
U+22B22	𢬢
U+22B3F	𢬿
U+22B43	𢭃
U+22B46	𢭆
U+22B4F	𢭏
U+22B50	𢭐
U+22B6A	𢭪
U+22BA6	𢮦
U+22BCA	𢯊
U+22BCE	𢯎
U+22C1D	𢰝
U+22C24	𢰤
U+22C26	𢰦
U+22C27	𢰧
U+22C38	𢰸
U+22C4C	𢱌
U+22C51	𢱑
U+22C55	𢱕
U+22C62	𢱢
U+22C6F	𢱯
U+22C88	𢲈
U+22C9B	𢲛
U+22CA1	𢲡
U+22CA9	𢲩
U+22CB2	𢲲
U+22CB7	𢲷
U+22CC2	𢳂
U+22CC6	𢳆
U+22CC9	𢳉
U+22D07	𢴇
U+22D08	𢴈
U+22D12	𢴒
U+22D44	𢵄
U+22D4C	𢵌
U+22D67	𢵧
U+22D8D	𢶍
U+22D95	𢶕
U+22DA0	𢶠
U+22DA3	𢶣
U+22DA4	𢶤
U+22DB7	𢶷
U+22DE1	𢷡
U+22DEE	𢷮
U+22E0D	𢸍
U+22E36	𢸶
U+22E42	𢹂
U+22E78	𢹸
U+22E8B	𢺋
U+22EB3	𢺳
U+22EE0	𢻠
U+22EEF	𢻯
U+22F74	𢽴
U+22FCC	𢿌
U+22FE3	𢿣
U+22FEB	𢿫
U+23033	𣀳
U+23044	𣁄
U+2304B	𣁋
U+23066	𣁦
U+2307D	𣁽
U+2307E	𣁾
U+2308E	𣂎
U+230B7	𣂷
U+230BC	𣂼
U+230DA	𣃚
U+230FD	𣃽
U+23103	𣄃
U+2313D	𣄽
U+2317D	𣅽
U+23182	𣆂
U+231A4	𣆤
U+231A5	𣆥
U+231B3	𣆳
U+231B6	𣆶
U+231C3	𣇃
U+231C4	𣇄
U+231C8	𣇈
U+231C9	𣇉
U+231EA	𣇪
U+231F5	𣇵
U+231F7	𣇷
U+231F8	𣇸
U+231F9	𣇹
U+2320F	𣈏
U+23225	𣈥
U+2322F	𣈯
U+23231	𣈱
U+23232	𣈲
U+23233	𣈳
U+23234	𣈴
U+23256	𣉖
U+2325E	𣉞
U+23262	𣉢
U+23281	𣊁
U+23289	𣊉
U+2328A	𣊊
U+232AB	𣊫
U+232AC	𣊬
U+232AD	𣊭
U+232D2	𣋒
U+232E0	𣋠
U+232E1	𣋡
U+23300	𣌀
U+2330A	𣌊
U+2331F	𣌟
U+23343	𣍃
U+23372	𣍲
U+233B4	𣎴
U+233CC	𣏌
U+233D0	𣏐
U+233D2	𣏒
U+233D3	𣏓
U+233D5	𣏕
U+233DA	𣏚
U+233DE	𣏞
U+233DF	𣏟
U+233E4	𣏤
U+233E6	𣏦
U+233F4	𣏴
U+233F5	𣏵
U+233F9	𣏹
U+233FA	𣏺
U+233FE	𣏾
U+23400	𣐀
U+2343F	𣐿
U+2344A	𣑊
U+2344B	𣑋
U+23450	𣑐
U+23451	𣑑
U+23465	𣑥
U+2346F	𣑯
